date,regime,regime_label,portfolio_USMV_overlay,portfolio_cash_baseline,SPY,USMV,cumret_USMV_overlay_pct,cumret_cash_baseline_pct,cumret_SPY_pct,cumret_USMV_etf_pct,portfolio_USMV_USD,portfolio_cash_USD,cash_USD,positions_value_USD,n_positions
2024-04-26,1,bear,199.4997,199.7799,135.9141,114.8139,99.4997,99.7799,35.9141,14.8139,1994.9966,1997.7987,1668.8075,231.363,4
2024-04-29,1,bear,200.1887,200.0905,136.3954,115.3104,100.1887,100.0905,36.3954,15.3104,2001.8874,2000.9051,1688.7037,213.2055,3
2024-04-30,0,bull,198.078,198.8879,134.2347,114.1329,98.078,98.8879,34.2347,14.1329,1980.7797,1988.8789,1533.7484,361.348,5
2024-05-01,0,bull,198.7391,199.5517,133.7989,113.9768,98.7391,99.5517,33.7989,13.9768,1987.391,1995.5172,1434.1631,465.7103,6
2024-05-02,0,bull,203.637,204.4696,135.0503,114.4024,103.637,104.4696,35.0503,14.4024,2036.3696,2044.6961,1095.637,838.8663,11
2024-05-03,0,bull,203.6398,204.4725,136.7243,115.0692,103.6398,104.4725,36.7243,15.0692,2036.398,2044.7246,1117.9222,820.3532,11
2024-05-06,0,bull,207.2781,208.1256,138.1363,115.7644,107.2781,108.1256,38.1363,15.7644,2072.7809,2081.2563,1117.9222,841.6986,11
2024-05-07,0,bull,205.8624,206.7041,138.2887,116.5021,105.8624,106.7041,38.2887,16.5021,2058.6239,2067.0414,1163.2642,786.6856,11
2024-05-08,0,bull,205.6703,206.5112,138.3021,116.5305,105.6703,106.5112,38.3021,16.5305,2056.7026,2065.1123,1115.0943,818.2615,12
2024-05-09,0,bull,204.8933,205.7311,139.0989,117.2114,104.8933,105.7311,39.0989,17.2114,2048.9332,2057.3111,1175.9102,754.3857,12
2024-05-10,0,bull,202.8621,203.6916,139.2781,117.6229,102.8621,103.6916,39.2781,17.6229,2028.6208,2036.9156,1076.5947,839.836,14
2024-05-13,0,bull,203.7426,204.5757,139.2968,117.6229,103.7426,104.5757,39.2968,17.6229,2037.4262,2045.757,1007.9928,917.9591,14
2024-05-14,0,bull,206.7184,207.5636,139.9359,117.7363,106.7184,107.5636,39.9359,17.7363,2067.1836,2075.6361,1066.2369,883.6242,14
2024-05-15,0,bull,208.6204,209.4735,141.6688,118.5308,108.6204,109.4735,41.6688,18.5308,2086.2043,2094.7346,1104.5976,861.6689,14
2024-05-16,0,bull,207.409,208.2571,141.3773,118.999,107.409,108.2571,41.3773,18.999,2074.09,2082.5707,1139.3267,817.3553,14
2024-05-17,0,bull,208.33,209.1819,141.5805,119.2685,108.33,109.1819,41.5805,19.2685,2083.3004,2091.8188,1091.2488,874.5289,15
2024-05-20,0,bull,211.0361,211.899,141.7436,119.0841,111.0361,111.899,41.7436,19.0841,2110.3611,2118.9901,1174.7965,814.763,13
2024-05-21,0,bull,209.2447,210.1003,142.0913,119.0131,109.2447,110.1003,42.0913,19.0131,2092.4475,2101.0033,1113.9911,860.6834,13
2024-05-22,0,bull,209.3231,210.179,141.6821,118.9422,109.3231,110.179,41.6821,18.9422,2093.231,2101.79,1276.46,700.2879,9
2024-05-23,0,bull,206.5158,207.3602,140.6472,117.5803,106.5158,107.3602,40.6472,17.5803,2065.1578,2073.602,1158.9695,801.5113,11
2024-05-24,0,bull,210.1369,210.9962,141.5779,117.7789,110.1369,110.9962,41.5779,17.7789,2101.3693,2109.9615,1102.6891,880.5922,12
2024-05-28,0,bull,210.4389,211.2993,141.6768,116.6582,110.4389,111.2993,41.6768,16.6582,2104.3888,2112.9934,1219.5381,765.1952,11
2024-05-29,0,bull,208.923,209.7773,140.6847,115.6651,108.923,109.7773,40.6847,15.6651,2089.2302,2097.7728,1234.4004,738.8742,11
2024-05-30,0,bull,209.5909,210.4479,139.7514,115.8637,109.5909,110.4479,39.7514,15.8637,2095.9094,2104.4794,1328.2774,652.0171,9
2024-05-31,0,bull,208.2397,209.0911,141.0243,117.4668,108.2397,109.0911,41.0243,17.4668,2082.3967,2090.9114,1344.5022,633.9139,9
2024-06-03,0,bull,209.0136,209.8682,141.1393,117.1547,109.0136,109.8682,41.1393,17.1547,2090.1361,2098.6825,1217.685,764.999,12
2024-06-04,0,bull,207.7449,208.5943,141.2971,117.7222,107.7449,108.5943,41.2971,17.7222,2077.4485,2085.943,1232.2742,744.5042,12
2024-06-05,0,bull,210.4202,211.2805,142.9764,118.0059,110.4202,111.2805,42.9764,18.0059,2104.2016,2112.8054,1287.6945,708.2018,12
2024-06-06,0,bull,210.3837,211.2439,142.9737,118.091,110.3837,111.2439,42.9737,18.091,2103.8366,2112.439,1354.8314,636.4504,11
2024-06-07,0,bull,208.5776,209.4305,142.7999,117.8782,108.5776,109.4305,42.7999,17.8782,2085.7763,2094.3048,1389.818,587.3129,11
2024-06-10,0,bull,209.2874,210.1432,143.2411,118.1477,109.2874,110.1432,43.2411,18.1477,2092.874,2101.4315,1481.8102,491.3076,8
